iter	Passed	Remaining
252	756	2233
253	758	2228
254	760	2222
255	763	2218
256	765	2212
257	767	2206
258	770	2205
259	773	2200
260	775	2194
261	776	2188
262	778	2182
263	780	2177
264	784	2175
265	787	2173
266	790	2169
267	792	2163
268	794	2160
269	797	2157
270	801	2156
271	806	2157
272	808	2152
273	810	2148
274	813	2144
275	816	2143
276	819	2139
277	821	2133
278	823	2127
279	825	2123
280	831	2126
281	833	2121
282	835	2115
283	836	2109
284	838	2102
285	841	2101
286	844	2098
287	846	2093
288	848	2088
289	850	2082
290	852	2077
291	855	2075
292	858	2071
293	861	2069
294	864	2066
295	866	2061
296	869	2058
297	871	2053
298	874	2051
299	876	2045
300	878	2039
301	880	2035
302	882	2029
303	884	2024
304	886	2020
305	889	2017
306	891	2011
307	893	2007
308	895	2003
309	897	1998
310	899	1993
311	901	1988
312	904	1985
313	906	1980
314	908	1975
315	910	1970
316	913	1967
317	915	1963
318	917	1958
319	920	1956
320	922	1952
321	924	1947
322	926	1942
323	929	1938
324	931	1933
325	933	1930
326	935	1925
327	937	1920
328	939	1915
329	941	1911
330	943	1907
331	946	1904
332	948	1900
333	951	1897
334	953	1892
335	955	1888
336	957	1883
337	959	1880
338	962	1875
339	963	1870
340	965	1865
341	967	1861
342	969	1856
343	971	1852
344	975	1851
345	978	1849
346	980	1846
347	983	1841
348	984	1836
349	986	1832
350	988	1828
351	991	1825
352	993	1820
353	994	1815
354	996	1810
355	999	1807
356	1001	1803
357	1004	1800
358	1006	1797
359	1008	1792
360	1010	1788
361	1012	1784
362	1014	1779
363	1016	1775
364	1018	1771
365	1020	1767
366	1022	1762
367	1023	1758
368	1026	1754
369	1028	1751
370	1031	1748
371	1034	1746
372	1036	1742
373	1038	1738
374	1040	1734
375	1042	1730
376	1045	1727
377	1047	1724
378	1050	1721
379	1053	1718
380	1055	1714
381	1057	1711
382	1060	1707
383	1063	1705
384	1065	1701
385	1067	1697
386	1069	1693
387	1071	1690
388	1073	1686
389	1076	1683
390	1079	1680
391	1081	1677
392	1083	1672
393	1087	1671
394	1090	1669
395	1094	1668
396	1098	1668
397	1101	1665
398	1104	1663
399	1107	1661
400	1110	1658
401	1112	1655
402	1114	1651
403	1116	1647
404	1119	1644
405	1122	1642
406	1125	1639
407	1127	1635
408	1129	1631
409	1131	1627
410	1133	1624
411	1135	1620
412	1137	1616
413	1139	1613
414	1141	1609
415	1144	1606
416	1146	1602
417	1148	1599
418	1152	1597
419	1154	1594
420	1157	1591
421	1159	1588
422	1164	1588
423	1169	1589
424	1172	1586
425	1174	1582
426	1177	1579
427	1181	1579
428	1184	1576
429	1186	1572
430	1189	1570
431	1192	1568
432	1195	1564
433	1198	1562
434	1200	1558
435	1202	1555
436	1204	1552
437	1208	1550
438	1212	1549
439	1215	1547
440	1217	1543
441	1219	1539
442	1223	1538
443	1226	1536
444	1229	1533
445	1231	1529
446	1233	1526
447	1236	1523
448	1239	1520
449	1241	1517
450	1244	1515
451	1247	1512
452	1249	1508
453	1255	1509
454	1259	1508
455	1261	1504
456	1263	1501
457	1268	1500
458	1272	1500
459	1276	1498
460	1278	1494
461	1280	1490
462	1282	1487
463	1285	1485
464	1287	1481
465	1290	1478
466	1292	1474
467	1297	1474
468	1299	1471
469	1303	1469
470	1305	1466
471	1307	1462
472	1309	1459
473	1313	1457
474	1315	1453
475	1317	1450
476	1319	1446
477	1321	1443
478	1325	1441
479	1327	1438
480	1330	1435
481	1334	1433
482	1335	1429
483	1337	1426
484	1340	1422
485	1343	1420
486	1345	1417
487	1347	1413
488	1350	1411
489	1352	1407
490	1354	1403
491	1355	1400
492	1359	1398
493	1361	1394
494	1363	1391
495	1366	1388
496	1368	1384
497	1370	1381
498	1374	1379
499	1376	1376
500	1378	1372
501	1380	1369
502	1382	1366
503	1385	1363
504	1388	1361
505	1391	1358
506	1393	1354
507	1395	1351
508	1398	1348
509	1400	1345
510	1404	1344
511	1406	1340
512	1408	1337
513	1410	1333
514	1413	1331
515	1416	1328
516	1418	1325
517	1420	1322
518	1422	1318
519	1424	1314
520	1427	1312
521	1430	1309
522	1432	1306
523	1434	1302
524	1436	1299
525	1438	1296
526	1441	1293
527	1444	1291
528	1450	1291
529	1454	1289
530	1458	1287
531	1461	1285
532	1464	1283
533	1466	1279
534	1468	1276
535	1470	1273
536	1472	1269
537	1474	1266
538	1476	1263
539	1479	1259
540	1481	1256
541	1483	1253
542	1485	1250
543	1487	1246
544	1490	1244
545	1493	1241
546	1494	1237
547	1496	1234
548	1498	1231
549	1501	1228
550	1504	1226
551	1506	1222
552	1509	1220
553	1511	1216
554	1513	1213
555	1516	1210
556	1518	1207
557	1519	1204
558	1521	1200
559	1524	1197
560	1525	1194
561	1528	1190
562	1529	1187
563	1532	1184
564	1534	1181
565	1536	1178
566	1539	1175
567	1542	1172
568	1543	1169
569	1545	1165
570	1547	1162
571	1549	1159
572	1551	1156
573	1553	1152
574	1555	1149
575	1557	1146
576	1559	1143
577	1563	1141
578	1566	1139
579	1569	1136
580	1573	1134
581	1575	1131
582	1577	1128
583	1579	1125
584	1581	1121
585	1583	1118
586	1585	1115
587	1587	1112
588	1590	1109
589	1594	1108
590	1596	1105
591	1598	1101
592	1600	1098
593	1602	1095
594	1604	1091
595	1606	1088
596	1608	1085
597	1610	1082
598	1612	1079
599	1614	1076
600	1616	1072
601	1618	1070
602	1621	1067
603	1625	1065
604	1627	1062
605	1628	1059
606	1630	1055
607	1633	1053
608	1635	1050
609	1638	1047
610	1640	1044
611	1642	1041
612	1644	1038
613	1645	1034
614	1648	1031
615	1651	1029
616	1653	1026
617	1655	1023
618	1657	1020
619	1659	1017
620	1661	1014
621	1663	1011
622	1669	1010
623	1671	1006
624	1672	1003
625	1675	1000
626	1677	997
627	1680	995
628	1683	993
629	1685	990
630	1687	987
631	1689	984
632	1691	980
633	1694	978
634	1696	975
635	1698	972
636	1700	969
637	1702	965
638	1704	962
639	1708	960
640	1712	958
641	1714	955
642	1715	952
643	1717	949
644	1719	946
645	1722	944
646	1724	941
647	1726	937
648	1728	934
649	1730	931
650	1732	928
651	1734	926
652	1737	923
653	1741	921
654	1743	918
655	1745	915
656	1748	912
657	1749	909
658	1751	906
659	1753	903
660	1755	900
661	1757	897
662	1761	895
663	1763	892
664	1765	889
665	1768	886
666	1770	883
667	1772	880
668	1774	878
669	1776	875
670	1779	872
671	1781	869
672	1783	866
673	1785	863
674	1787	860
675	1789	857
676	1791	854
677	1795	852
678	1801	851
679	1804	849
680	1807	846
681	1809	843
682	1812	841
683	1814	838
684	1815	835
685	1817	831
686	1819	828
687	1821	825
688	1823	823
689	1826	820
690	1828	817
691	1830	814
692	1832	812
693	1834	808
694	1836	805
695	1838	803
696	1840	800
697	1842	797
698	1845	794
699	1847	791
700	1849	788
701	1851	786
702	1855	783
703	1857	781
704	1861	778
705	1863	775
706	1864	772
707	1866	769
708	1868	767
709	1871	764
710	1873	761
711	1875	758
712	1876	755
713	1879	752
714	1881	750
715	1884	747
716	1887	745
717	1889	742
718	1891	739
719	1893	736
720	1895	733
721	1898	731
722	1900	728
723	1903	725
724	1905	722
725	1908	720
726	1911	717
727	1913	714
728	1916	712
729	1919	709
730	1921	707
731	1922	704
732	1924	701
733	1926	698
734	1928	695
735	1931	692
736	1933	689
737	1936	687
738	1948	688
739	1950	685
740	1952	682
741	1954	679
742	1956	676
743	1970	677
744	1982	678
745	1984	675
746	1986	672
747	1988	669
748	1991	667
749	1993	664
750	1995	661
751	1997	658
752	1999	655
753	2002	653
754	2007	651
755	2009	648
756	2011	645
757	2013	642
758	2015	639
759	2018	637
760	2021	634
761	2023	631
762	2024	628
763	2026	626
764	2028	623
765	2030	620
766	2033	617
767	2036	615
768	2038	612
769	2041	609
770	2043	607
771	2046	604
772	2048	601
773	2050	598
774	2052	595
775	2054	593
776	2056	590
777	2058	587
778	2061	584
779	2063	581
780	2066	579
781	2068	576
782	2070	573
783	2072	570
784	2073	567
785	2075	565
786	2077	562
787	2080	559
788	2082	556
789	2083	553
790	2085	551
791	2087	548
792	2089	545
793	2092	542
794	2094	540
795	2098	537
796	2101	535
797	2104	532
798	2106	529
799	2108	527
800	2110	524
801	2112	521
802	2114	518
803	2116	515
804	2117	513
805	2120	510
806	2122	507
807	2125	505
808	2128	502
809	2130	499
810	2132	496
811	2134	494
812	2136	491
813	2138	488
814	2140	485
815	2142	483
816	2144	480
817	2146	477
818	2148	474
819	2151	472
820	2154	469
821	2157	467
822	2159	464
823	2161	461
824	2163	458
825	2165	456
826	2167	453
827	2169	450
828	2171	447
829	2173	445
830	2175	442
831	2178	439
832	2180	437
833	2183	434
834	2186	432
835	2192	430
836	2196	427
837	2199	425
838	2201	422
839	2203	419
840	2205	416
841	2208	414
842	2211	411
843	2214	409
844	2217	406
845	2219	403
846	2222	401
847	2224	398
848	2227	396
849	2229	393
850	2231	390
851	2233	388
852	2236	385
853	2239	382
854	2242	380
855	2244	377
856	2246	374
857	2248	372
858	2250	369
859	2252	366
860	2254	363
861	2256	361
862	2258	358
863	2260	355
864	2262	353
865	2265	350
866	2267	347
867	2270	345
868	2273	342
869	2275	339
870	2277	337
871	2278	334
872	2280	331
873	2282	329
874	2285	326
875	2286	323
876	2288	320
877	2290	318
878	2292	315
879	2294	312
880	2296	310
881	2299	307
882	2301	304
883	2303	302
884	2305	299
885	2307	296
886	2309	294
887	2312	291
888	2314	288
889	2316	286
890	2317	283
891	2319	280
892	2321	278
893	2324	275
894	2326	272
895	2328	270
896	2330	267
897	2333	265
898	2335	262
899	2337	259
900	2339	257
901	2341	254
902	2342	251
903	2344	248
904	2346	246
905	2348	243
906	2350	241
907	2352	238
908	2354	235
909	2357	233
910	2359	230
911	2362	227
912	2364	225
913	2366	222
914	2368	219
915	2369	217
916	2371	214
917	2373	211
918	2374	209
919	2376	206
920	2377	203
921	2379	201
922	2381	198
923	2383	196
924	2385	193
925	2387	190
926	2391	188
927	2394	185
928	2397	183
929	2399	180
930	2400	177
931	2402	175
932	2404	172
933	2406	170
934	2408	167
935	2409	164
936	2412	162
937	2414	159
938	2417	157
939	2419	154
940	2421	151
941	2423	149
942	2425	146
943	2427	144
944	2429	141
945	2431	138
946	2432	136
947	2434	133
948	2436	130
949	2437	128
950	2441	125
951	2443	123
952	2445	120
953	2448	118
954	2450	115
955	2452	112
956	2454	110
957	2456	107
958	2458	105
959	2460	102
960	2461	99
961	2463	97
962	2465	94
963	2467	92
964	2469	89
965	2471	86
966	2473	84
967	2476	81
968	2478	79
969	2480	76
970	2482	74
971	2484	71
972	2486	68
973	2488	66
974	2489	63
975	2491	61
976	2493	58
977	2494	56
978	2496	53
979	2499	51
980	2502	48
981	2504	45
982	2506	43
983	2508	40
984	2510	38
985	2512	35
986	2515	33
987	2517	30
988	2518	28
989	2520	25
990	2522	22
991	2524	20
992	2526	17
993	2528	15
994	2532	12
995	2538	10
996	2543	7
997	2545	5
998	2547	2
999	2549	0
